epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,55.6486,1.107,1.9836,0.41871,0.01459,0.84421,0.44305,0.4774,0.45059,0.32646,0.45496,0.47722,0.44844,0.32964,1.10037,1.96384,0.38265,0.01486,0,9.97525e-06,9.97525e-06,9.97525e-05,9.97525e-05,9.97525e-05
2,104.511,1.08376,1.97091,0.41433,0.01406,0.81511,0.43626,0.48324,0.4632,0.33608,0.47155,0.48536,0.46827,0.34985,1.08613,1.93707,0.37565,0.01489,0,1.98105e-05,1.98105e-05,0.000198105,0.000198105,0.000198105
3,153.481,1.08678,1.9456,0.4005,0.01397,0.77247,0.44948,0.47918,0.4649,0.34403,0.47343,0.48934,0.47096,0.35432,1.06741,1.92312,0.36902,0.01447,0,2.94807e-05,2.94807e-05,0.000294807,0.000294807,0.000294807
4,202.136,1.05233,1.86109,0.38699,0.01349,0.72517,0.45464,0.50875,0.47726,0.35354,0.46539,0.51396,0.47952,0.36354,1.04973,1.85505,0.36026,0.01441,0,2.92575e-05,2.92575e-05,0.000292575,0.000292575,0.000292575
5,250.815,1.05351,1.85009,0.37948,0.0137,0.70583,0.58187,0.49544,0.47801,0.35438,0.59768,0.49795,0.47631,0.36386,1.02907,1.82926,0.35784,0.01381,0,2.901e-05,2.901e-05,0.0002901,0.0002901,0.0002901
6,299.524,1.03407,1.84224,0.37831,0.01322,0.69499,0.44422,0.50368,0.47635,0.35758,0.58858,0.51732,0.47864,0.36573,1.02048,1.83019,0.35711,0.01347,0,2.87625e-05,2.87625e-05,0.000287625,0.000287625,0.000287625
7,348.316,1.04825,1.83908,0.37265,0.01319,0.68958,0.56996,0.50263,0.48258,0.36361,0.59246,0.51006,0.48198,0.36842,1.02126,1.80731,0.34904,0.01368,0,2.8515e-05,2.8515e-05,0.00028515,0.00028515,0.00028515
8,396.951,1.04039,1.81277,0.364,0.01344,0.67947,0.58395,0.50439,0.48701,0.36874,0.59719,0.51081,0.48537,0.37237,1.00721,1.7952,0.35231,0.01341,0,2.82675e-05,2.82675e-05,0.000282675,0.000282675,0.000282675
9,445.603,1.02734,1.8016,0.36503,0.01338,0.68185,0.57735,0.49891,0.48305,0.3633,0.59199,0.50646,0.48046,0.37024,1.00145,1.79952,0.34652,0.01332,0,2.802e-05,2.802e-05,0.0002802,0.0002802,0.0002802
10,494.238,1.02428,1.78403,0.36087,0.01277,0.6667,0.7059,0.4922,0.48507,0.36619,0.71783,0.50369,0.48327,0.37227,1.00384,1.82368,0.34665,0.01341,0,2.77725e-05,2.77725e-05,0.000277725,0.000277725,0.000277725
11,542.972,1.01886,1.77802,0.35774,0.01276,0.65485,0.58402,0.50199,0.48372,0.36661,0.5925,0.5095,0.47991,0.3724,1.00074,1.80087,0.34703,0.01338,0,2.7525e-05,2.7525e-05,0.00027525,0.00027525,0.00027525
12,591.598,1.02751,1.75968,0.35281,0.01312,0.6695,0.57898,0.50576,0.4812,0.36369,0.59001,0.49852,0.47702,0.36787,0.99331,1.8174,0.34657,0.01303,0,2.72775e-05,2.72775e-05,0.000272775,0.000272775,0.000272775
13,640.215,1.00744,1.74908,0.35416,0.01273,0.65433,0.58707,0.51144,0.48753,0.36983,0.59102,0.51635,0.4841,0.37577,0.99677,1.8257,0.34281,0.01341,0,2.703e-05,2.703e-05,0.0002703,0.0002703,0.0002703
14,688.942,1.01342,1.77296,0.34698,0.01323,0.66185,0.70737,0.49848,0.48398,0.36671,0.5809,0.50681,0.47828,0.37049,0.99647,1.80206,0.34226,0.01341,0,2.67825e-05,2.67825e-05,0.000267825,0.000267825,0.000267825
15,737.548,1.00929,1.76646,0.35267,0.01293,0.65598,0.59856,0.52101,0.48921,0.37107,0.59997,0.51763,0.48323,0.37497,0.98892,1.78471,0.3433,0.01322,0,2.6535e-05,2.6535e-05,0.00026535,0.00026535,0.00026535
16,786.335,1.01491,1.7631,0.35018,0.01282,0.64593,0.71582,0.49293,0.48378,0.36774,0.72257,0.50068,0.48285,0.37209,0.98301,1.77189,0.34034,0.01304,0,2.62875e-05,2.62875e-05,0.000262875,0.000262875,0.000262875
17,835.018,1.01508,1.73873,0.34195,0.01277,0.64265,0.57586,0.51955,0.48889,0.37256,0.58456,0.52752,0.48588,0.37475,0.993,1.83887,0.33764,0.0132,0,2.604e-05,2.604e-05,0.0002604,0.0002604,0.0002604
18,883.844,1.00734,1.75127,0.34231,0.01278,0.64938,0.58499,0.53728,0.49329,0.37722,0.58929,0.53894,0.48803,0.37648,0.98983,1.81943,0.33335,0.01322,0,2.57925e-05,2.57925e-05,0.000257925,0.000257925,0.000257925
19,932.505,0.99198,1.74343,0.34491,0.01252,0.64375,0.47698,0.51642,0.49379,0.38181,0.47972,0.51856,0.48848,0.37833,0.98286,1.78467,0.33601,0.01302,0,2.5545e-05,2.5545e-05,0.00025545,0.00025545,0.00025545
20,981.124,1.01108,1.73131,0.33695,0.01276,0.63623,0.46655,0.52408,0.49001,0.38069,0.46744,0.52379,0.48673,0.37557,0.9847,1.80375,0.33333,0.01324,0,2.52975e-05,2.52975e-05,0.000252975,0.000252975,0.000252975
21,1029.8,0.99092,1.74664,0.33794,0.01263,0.63522,0.46672,0.51613,0.49083,0.38221,0.46399,0.51519,0.48525,0.37593,0.98048,1.77552,0.3321,0.01292,0,2.505e-05,2.505e-05,0.0002505,0.0002505,0.0002505
22,1078.52,1.00424,1.72831,0.33629,0.01277,0.63726,0.46327,0.52677,0.49044,0.3827,0.46544,0.52134,0.48454,0.37474,0.97703,1.78808,0.32954,0.01285,0,2.48025e-05,2.48025e-05,0.000248025,0.000248025,0.000248025
23,1127.16,1.00938,1.73699,0.34204,0.01308,0.64485,0.59315,0.51309,0.48974,0.38125,0.58822,0.50805,0.47981,0.37272,0.97272,1.76991,0.33321,0.01289,0,2.4555e-05,2.4555e-05,0.00024555,0.00024555,0.00024555
24,1175.84,1.00004,1.71793,0.3322,0.01287,0.63598,0.59073,0.51765,0.49767,0.38699,0.59052,0.51759,0.49049,0.38123,0.97562,1.77701,0.33076,0.01294,0,2.43075e-05,2.43075e-05,0.000243075,0.000243075,0.000243075
