epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,21.8522,1.33197,2.13201,2.88585,0.0128,3.51281,0.49891,0.25876,0.26649,0.16011,0.50779,0.25978,0.26014,0.16226,1.57193,2.97049,3.02528,0.01754,0,0.00033,0.00033,0.06733
2,38.2434,1.20742,1.59623,1.54016,0.01119,1.73859,0.59065,0.61267,0.61086,0.41102,0.59437,0.61571,0.6144,0.4061,1.20646,1.6134,1.43995,0.01238,0,0.000656766,0.000656766,0.0343234
3,54.7604,1.17445,1.50372,1.25414,0.01092,1.11136,0.72607,0.68452,0.73157,0.49447,0.70116,0.70423,0.73185,0.47615,1.19284,1.60958,1.11802,0.01215,0,0.000976933,0.000976933,0.00131027
4,71.5043,1.17681,1.44731,1.09234,0.01096,0.91707,0.77332,0.67896,0.75451,0.50827,0.78111,0.68624,0.76071,0.50332,1.19981,1.53503,1.10184,0.01221,0,0.0009703,0.0009703,0.0009703
5,88.5985,1.14952,1.40824,1.00964,0.01062,0.82651,0.77484,0.70606,0.77001,0.53195,0.7716,0.71592,0.77304,0.51226,1.14198,1.52087,1.00496,0.01146,0,0.0009604,0.0009604,0.0009604
6,136.959,1.12445,1.3724,0.94654,0.01038,0.7472,0.76607,0.72861,0.79072,0.55147,0.77041,0.73525,0.79309,0.53149,1.11841,1.5277,0.98746,0.01118,0,0.0009505,0.0009505,0.0009505
7,155.314,1.11548,1.35481,0.91305,0.01008,0.73581,0.78425,0.75735,0.80474,0.56068,0.7893,0.76201,0.80428,0.53983,1.11959,1.46592,0.9299,0.01097,0,0.0009406,0.0009406,0.0009406
8,172.773,1.09853,1.33119,0.8663,0.00996,0.68501,0.76556,0.76397,0.8134,0.56101,0.76884,0.76403,0.80668,0.54137,1.11716,1.46426,0.89333,0.01107,0,0.0009307,0.0009307,0.0009307
9,321.224,1.08637,1.30499,0.8304,0.00968,0.6523,0.80816,0.75249,0.81249,0.5695,0.81921,0.7472,0.80968,0.54808,1.12417,1.44816,0.87406,0.01094,0,0.0009208,0.0009208,0.0009208
10,338.585,1.08222,1.2943,0.81282,0.00974,0.65386,0.79474,0.76576,0.82439,0.57412,0.80779,0.77659,0.83474,0.5625,1.12991,1.44568,0.85214,0.0113,0,0.0009109,0.0009109,0.0009109
