epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,13.0833,1.39341,2.59449,3.96949,0.01356,4.47757,0.13096,0.2947,0.0616,0.03224,0.12589,0.25319,0.05034,0.02862,1.63569,3.62743,4.39196,0.01937,0,0.00033,0.00033,0.06733
2,18.9145,1.26439,1.89876,2.57526,0.01153,2.8552,0.48956,0.39261,0.33783,0.22562,0.48402,0.38878,0.33027,0.21062,1.23063,1.91118,2.23193,0.01223,0,0.000656766,0.000656766,0.0343234
3,24.6342,1.23291,1.71287,2.05788,0.01133,2.32946,0.4838,0.50721,0.44739,0.30431,0.47723,0.51452,0.44317,0.28594,1.17015,1.70893,1.82392,0.01156,0,0.000976933,0.000976933,0.00131027
4,30.3367,1.1977,1.62241,1.76973,0.01097,1.99512,0.50175,0.56092,0.53079,0.35877,0.5112,0.54943,0.53298,0.34268,1.17474,1.68553,1.63435,0.01155,0,0.0009703,0.0009703,0.0009703
5,36.1274,1.17829,1.56549,1.59502,0.01061,1.65722,0.51533,0.59647,0.58597,0.40198,0.52326,0.57608,0.57745,0.38109,1.15866,1.625,1.52559,0.01142,0,0.0009604,0.0009604,0.0009604
6,41.8405,1.16255,1.52678,1.47205,0.01052,1.39013,0.59853,0.62021,0.63693,0.43514,0.60097,0.61335,0.62842,0.42009,1.15968,1.58076,1.38226,0.01125,0,0.0009505,0.0009505,0.0009505
7,47.5659,1.14889,1.49192,1.36737,0.01019,1.21831,0.60535,0.61994,0.63833,0.44315,0.61038,0.62399,0.64225,0.42907,1.12958,1.5689,1.34053,0.01112,0,0.0009406,0.0009406,0.0009406
8,53.2524,1.13592,1.44754,1.30496,0.01029,1.07238,0.62566,0.65405,0.67496,0.46192,0.61889,0.65672,0.66978,0.44254,1.16014,1.56227,1.28338,0.01155,0,0.0009307,0.0009307,0.0009307
9,59.0514,1.1284,1.4411,1.24164,0.01008,0.97536,0.67271,0.63478,0.69019,0.48202,0.67983,0.64421,0.69487,0.4683,1.14458,1.50027,1.24385,0.01105,0,0.0009208,0.0009208,0.0009208
10,64.7344,1.11311,1.44547,1.18412,0.00974,0.89336,0.64563,0.68444,0.69622,0.48345,0.66196,0.68067,0.70401,0.46614,1.14048,1.5271,1.1899,0.01119,0,0.0009109,0.0009109,0.0009109
11,70.4372,1.10681,1.40271,1.1382,0.00978,0.86251,0.66623,0.68497,0.7175,0.50096,0.69458,0.68442,0.72209,0.48354,1.1465,1.51432,1.14365,0.01149,0,0.000901,0.000901,0.000901
12,76.1534,1.08948,1.3695,1.10457,0.00967,0.82768,0.68634,0.69789,0.72952,0.50888,0.70211,0.69284,0.73519,0.49227,1.13582,1.51281,1.11275,0.01127,0,0.0008911,0.0008911,0.0008911
13,81.9281,1.08787,1.36412,1.07885,0.00955,0.81974,0.66698,0.68146,0.71847,0.49682,0.67529,0.68403,0.72478,0.47547,1.11845,1.52502,1.15097,0.01097,0,0.0008812,0.0008812,0.0008812
14,87.6258,1.09419,1.369,1.05899,0.00944,0.77199,0.69545,0.69138,0.73887,0.52343,0.68743,0.69846,0.74002,0.49834,1.08043,1.50965,1.09936,0.01026,0,0.0008713,0.0008713,0.0008713
15,93.3215,1.07453,1.34817,1.04065,0.00959,0.71163,0.67261,0.73086,0.74243,0.5201,0.69427,0.7193,0.74867,0.50102,1.09319,1.50635,1.05278,0.01068,0,0.0008614,0.0008614,0.0008614
16,98.9523,1.07209,1.33516,0.99928,0.00926,0.6714,0.70106,0.71987,0.75303,0.52468,0.71475,0.72891,0.76728,0.51542,1.12998,1.46969,1.04615,0.01095,0,0.0008515,0.0008515,0.0008515
17,104.581,1.06601,1.32693,0.97542,0.00923,0.64648,0.73603,0.71649,0.76168,0.53815,0.74207,0.71197,0.76384,0.51597,1.0897,1.44305,1.00648,0.01042,0,0.0008416,0.0008416,0.0008416
18,110.351,1.07209,1.3085,0.95218,0.00949,0.63562,0.74467,0.71683,0.76497,0.54188,0.75636,0.72116,0.7747,0.52014,1.08818,1.47865,1.00664,0.01041,0,0.0008317,0.0008317,0.0008317
19,116.05,1.05148,1.28962,0.91831,0.0091,0.61397,0.73721,0.7307,0.76903,0.53762,0.74492,0.72701,0.77469,0.52166,1.10777,1.50876,0.98586,0.01074,0,0.0008218,0.0008218,0.0008218
20,121.734,1.05025,1.28105,0.9208,0.00912,0.60742,0.74807,0.71255,0.76706,0.54576,0.74687,0.71872,0.76895,0.52598,1.08088,1.47264,0.98917,0.01026,0,0.0008119,0.0008119,0.0008119
21,127.444,1.04294,1.28525,0.89583,0.00893,0.61001,0.7218,0.73337,0.77288,0.54553,0.7366,0.74262,0.7853,0.53429,1.09339,1.42181,0.95587,0.01077,0,0.000802,0.000802,0.000802
22,133.226,1.04725,1.26952,0.88213,0.00897,0.58588,0.76971,0.72794,0.77616,0.55291,0.77475,0.7391,0.78786,0.53481,1.07112,1.44412,0.98377,0.01021,0,0.0007921,0.0007921,0.0007921
23,138.924,1.02081,1.24994,0.85937,0.00887,0.58677,0.78311,0.74566,0.79017,0.56857,0.79224,0.7423,0.80008,0.55009,1.05492,1.41379,0.94,0.01012,0,0.0007822,0.0007822,0.0007822
24,144.573,1.02202,1.24716,0.85785,0.00872,0.58364,0.75988,0.74835,0.78706,0.55736,0.77001,0.75507,0.79343,0.53399,1.07586,1.44085,0.95443,0.01028,0,0.0007723,0.0007723,0.0007723
25,150.271,1.03377,1.2392,0.8377,0.00888,0.57667,0.75493,0.73354,0.78508,0.56356,0.77254,0.73486,0.7964,0.53773,1.06608,1.4791,0.93384,0.01015,0,0.0007624,0.0007624,0.0007624
26,155.951,1.02041,1.22537,0.82197,0.00862,0.54961,0.74169,0.73934,0.79157,0.56435,0.75668,0.75195,0.80456,0.54448,1.07904,1.46322,0.9163,0.01034,0,0.0007525,0.0007525,0.0007525
27,161.706,1.01157,1.22221,0.82043,0.00858,0.54617,0.78878,0.75292,0.80083,0.56319,0.80276,0.76089,0.8104,0.5457,1.07683,1.42839,0.92126,0.01032,0,0.0007426,0.0007426,0.0007426
28,167.348,1.00279,1.20631,0.80954,0.00863,0.54872,0.78193,0.74132,0.81137,0.58233,0.77862,0.76539,0.81322,0.55398,1.03544,1.41824,0.89117,0.00984,0,0.0007327,0.0007327,0.0007327
29,173.041,1.01577,1.21358,0.81472,0.00856,0.54194,0.76051,0.7682,0.79917,0.57201,0.7698,0.77394,0.80656,0.54766,1.06942,1.46242,0.8879,0.01033,0,0.0007228,0.0007228,0.0007228
30,178.697,0.99297,1.18997,0.77886,0.0083,0.52047,0.79765,0.7483,0.81403,0.58118,0.8106,0.75466,0.81255,0.55564,1.05051,1.42342,0.87248,0.00985,0,0.0007129,0.0007129,0.0007129
31,184.472,0.9978,1.18147,0.77049,0.00831,0.5159,0.77677,0.75549,0.81121,0.57966,0.79449,0.76488,0.81868,0.55968,1.05724,1.42091,0.87236,0.00994,0,0.000703,0.000703,0.000703
32,190.092,0.98442,1.1692,0.75641,0.00823,0.50539,0.79236,0.77601,0.82293,0.59233,0.80497,0.77579,0.82933,0.57165,1.04205,1.43113,0.86205,0.0099,0,0.0006931,0.0006931,0.0006931
33,195.763,0.9761,1.17617,0.75197,0.00818,0.48628,0.78622,0.77316,0.8173,0.58604,0.79403,0.77093,0.81753,0.56284,1.04551,1.46027,0.87502,0.00997,0,0.0006832,0.0006832,0.0006832
34,201.44,0.98032,1.16092,0.74198,0.00817,0.47036,0.78148,0.76246,0.81324,0.58295,0.80791,0.74376,0.81461,0.55722,1.04655,1.42499,0.87145,0.00986,0,0.0006733,0.0006733,0.0006733
35,207.268,0.96919,1.15498,0.74281,0.00823,0.47559,0.78986,0.75661,0.81731,0.58322,0.81636,0.75187,0.82293,0.56041,1.05866,1.43421,0.8401,0.01003,0,0.0006634,0.0006634,0.0006634
36,212.938,0.97162,1.1505,0.73593,0.00816,0.46541,0.79124,0.78028,0.81791,0.59484,0.80945,0.78338,0.82811,0.56862,1.03745,1.43373,0.83479,0.0098,0,0.0006535,0.0006535,0.0006535
37,218.623,0.96943,1.15274,0.72463,0.00803,0.46314,0.81783,0.76327,0.8192,0.59101,0.82744,0.77328,0.82629,0.55947,1.02937,1.44829,0.85539,0.00967,0,0.0006436,0.0006436,0.0006436
38,224.288,0.96684,1.14708,0.71956,0.00798,0.45788,0.81385,0.7756,0.82206,0.59752,0.82416,0.77412,0.82153,0.56634,1.03854,1.41459,0.85031,0.00969,0,0.0006337,0.0006337,0.0006337
39,229.961,0.95338,1.13374,0.70157,0.00799,0.44869,0.78725,0.78185,0.82047,0.59049,0.79373,0.78336,0.82108,0.56648,1.06111,1.41512,0.83273,0.00995,0,0.0006238,0.0006238,0.0006238
40,235.711,0.95814,1.12979,0.68594,0.00785,0.43379,0.79713,0.78086,0.82612,0.59614,0.79762,0.80258,0.82989,0.57023,1.05182,1.43856,0.8256,0.00997,0,0.0006139,0.0006139,0.0006139
41,241.432,0.95035,1.13174,0.69124,0.00782,0.44065,0.82461,0.76986,0.82476,0.5948,0.82342,0.78225,0.82873,0.56821,1.04737,1.44295,0.82638,0.00984,0,0.000604,0.000604,0.000604
42,247.095,0.94966,1.10849,0.67783,0.00774,0.44087,0.79765,0.78322,0.81167,0.59203,0.81559,0.77787,0.81971,0.563,1.02194,1.4572,0.85389,0.00961,0,0.0005941,0.0005941,0.0005941
43,252.756,0.9367,1.11283,0.66624,0.00767,0.42914,0.80459,0.78879,0.82313,0.59665,0.81442,0.79366,0.82935,0.56805,1.03475,1.4622,0.83182,0.00981,0,0.0005842,0.0005842,0.0005842
44,258.566,0.93757,1.09682,0.66712,0.00777,0.42159,0.78388,0.79807,0.82089,0.59619,0.79249,0.80853,0.8333,0.5706,1.02849,1.4315,0.83648,0.00969,0,0.0005743,0.0005743,0.0005743
45,264.279,0.94754,1.10941,0.66858,0.00793,0.4235,0.82957,0.78356,0.83851,0.60765,0.83778,0.78516,0.83989,0.58154,1.0284,1.44236,0.80321,0.00961,0,0.0005644,0.0005644,0.0005644
46,269.999,0.93638,1.09233,0.6599,0.0079,0.40977,0.80509,0.78055,0.8293,0.60191,0.81902,0.7916,0.83802,0.57563,1.02667,1.41433,0.7902,0.00974,0,0.0005545,0.0005545,0.0005545
47,275.668,0.92855,1.07984,0.64993,0.00776,0.40377,0.82647,0.77776,0.83589,0.60221,0.83704,0.78393,0.84048,0.57835,1.02116,1.46148,0.80289,0.00962,0,0.0005446,0.0005446,0.0005446
48,281.442,0.91051,1.06974,0.62986,0.00728,0.3945,0.83083,0.78722,0.83168,0.60672,0.84579,0.79875,0.84449,0.57696,1.0105,1.46145,0.79437,0.00952,0,0.0005347,0.0005347,0.0005347
49,287.115,0.91215,1.08274,0.62506,0.00737,0.39227,0.81682,0.8072,0.8386,0.60996,0.82981,0.81233,0.84281,0.57715,1.02022,1.5002,0.78517,0.0096,0,0.0005248,0.0005248,0.0005248
50,292.778,0.92033,1.07192,0.62843,0.00756,0.39776,0.81393,0.78772,0.82926,0.60247,0.83663,0.79558,0.83903,0.57539,1.03872,1.42146,0.80098,0.00979,0,0.0005149,0.0005149,0.0005149
51,298.504,0.91022,1.06951,0.62803,0.00744,0.38826,0.82378,0.78699,0.83424,0.60553,0.85795,0.77884,0.8382,0.57859,1.01061,1.43376,0.8035,0.00947,0,0.000505,0.000505,0.000505
52,304.17,0.90687,1.06736,0.62089,0.00729,0.3818,0.81663,0.78282,0.83106,0.60629,0.83653,0.78731,0.84053,0.58189,1.02268,1.42988,0.7953,0.0096,0,0.0004951,0.0004951,0.0004951
53,309.953,0.91258,1.06865,0.6217,0.00737,0.38779,0.80229,0.79158,0.83085,0.60695,0.8143,0.80255,0.8378,0.57377,1.02113,1.44477,0.79696,0.00957,0,0.0004852,0.0004852,0.0004852
54,315.612,0.90754,1.06541,0.61507,0.00732,0.38777,0.81535,0.79081,0.83307,0.60185,0.83047,0.78711,0.83805,0.57417,1.01455,1.48064,0.79524,0.00953,0,0.0004753,0.0004753,0.0004753
55,321.262,0.89473,1.06022,0.6009,0.00711,0.38691,0.83703,0.77447,0.83795,0.60949,0.85375,0.78443,0.84537,0.57887,1.00145,1.42638,0.79915,0.00924,0,0.0004654,0.0004654,0.0004654
56,326.899,0.89467,1.05233,0.59095,0.00723,0.37525,0.8329,0.78212,0.8382,0.61006,0.83869,0.7961,0.84332,0.57901,1.00099,1.47552,0.7827,0.00937,0,0.0004555,0.0004555,0.0004555
57,332.66,0.89814,1.03763,0.5941,0.0072,0.37398,0.84157,0.78971,0.84173,0.60729,0.85627,0.796,0.85302,0.5872,1.02083,1.43999,0.7832,0.00941,0,0.0004456,0.0004456,0.0004456
58,338.312,0.88805,1.02818,0.59637,0.00724,0.36727,0.83504,0.78779,0.84029,0.611,0.85493,0.79379,0.85184,0.58401,1.00743,1.43929,0.78376,0.00936,0,0.0004357,0.0004357,0.0004357
59,343.998,0.88451,1.04008,0.58442,0.00703,0.36081,0.79991,0.80754,0.83545,0.60514,0.84987,0.7839,0.84241,0.57262,1.01956,1.46199,0.79208,0.00933,0,0.0004258,0.0004258,0.0004258
60,349.649,0.88485,1.025,0.57915,0.0071,0.36561,0.83353,0.78948,0.83967,0.60358,0.85604,0.79885,0.84841,0.58018,1.02406,1.44776,0.78065,0.0096,0,0.0004159,0.0004159,0.0004159
61,355.424,0.87554,1.00996,0.57613,0.00707,0.36104,0.82236,0.81201,0.84014,0.60877,0.83714,0.81228,0.85075,0.58213,1.00268,1.43938,0.77576,0.00927,0,0.000406,0.000406,0.000406
62,361.052,0.86849,1.01921,0.56061,0.0069,0.35544,0.81133,0.81287,0.83923,0.60922,0.82536,0.81773,0.84665,0.58585,1.02239,1.45828,0.77341,0.00947,0,0.0003961,0.0003961,0.0003961
63,366.71,0.86361,1.01174,0.56556,0.00685,0.34916,0.83666,0.78123,0.83959,0.60695,0.84971,0.79146,0.84881,0.58173,1.01949,1.47463,0.7787,0.00934,0,0.0003862,0.0003862,0.0003862
64,372.333,0.88018,1.02044,0.57739,0.00698,0.36166,0.81316,0.79947,0.83945,0.60604,0.82506,0.80531,0.84668,0.57884,1.02403,1.42613,0.77763,0.00943,0,0.0003763,0.0003763,0.0003763
65,377.955,0.87748,1.01608,0.56796,0.00696,0.35309,0.80388,0.80709,0.83766,0.60422,0.84446,0.78862,0.84193,0.57268,1.01874,1.46764,0.77768,0.00955,0,0.0003664,0.0003664,0.0003664
66,383.732,0.87218,1.00695,0.55893,0.00687,0.34775,0.84726,0.77973,0.83851,0.60696,0.85863,0.78904,0.8434,0.57979,1.02041,1.47703,0.77204,0.00941,0,0.0003565,0.0003565,0.0003565
67,389.447,0.86,1.00388,0.55546,0.00686,0.34845,0.85031,0.79078,0.84298,0.61425,0.86227,0.80081,0.85082,0.59054,1.00481,1.4667,0.74441,0.00931,0,0.0003466,0.0003466,0.0003466
68,395.081,0.85408,0.98932,0.54944,0.0068,0.3459,0.8374,0.8011,0.84113,0.61125,0.84645,0.81234,0.8489,0.58701,1.00352,1.49551,0.77293,0.00927,0,0.0003367,0.0003367,0.0003367
69,400.727,0.85754,1.00268,0.54894,0.00677,0.34497,0.82651,0.80568,0.84283,0.61558,0.84258,0.8128,0.85173,0.59164,1.0051,1.44558,0.75824,0.00933,0,0.0003268,0.0003268,0.0003268
70,406.433,0.85944,0.99033,0.54538,0.00669,0.34168,0.83297,0.80015,0.84198,0.61299,0.85489,0.79877,0.84928,0.5875,1.00975,1.50729,0.75738,0.00946,0,0.0003169,0.0003169,0.0003169
71,412.091,0.85168,0.9875,0.5391,0.00672,0.33883,0.83943,0.79542,0.84052,0.61343,0.85443,0.80396,0.84901,0.58425,1.0107,1.49715,0.76435,0.00941,0,0.000307,0.000307,0.000307
72,417.743,0.83352,0.97351,0.52844,0.00667,0.33646,0.81231,0.81581,0.8471,0.61619,0.83264,0.81735,0.85447,0.59017,1.01244,1.48431,0.74465,0.00941,0,0.0002971,0.0002971,0.0002971
73,423.423,0.83881,0.97874,0.53044,0.0066,0.33776,0.81882,0.81241,0.84568,0.61336,0.82989,0.81275,0.84681,0.58262,1.01448,1.50284,0.74737,0.00947,0,0.0002872,0.0002872,0.0002872
74,429.083,0.83699,0.96272,0.52394,0.00671,0.33251,0.82934,0.79896,0.83802,0.61169,0.84623,0.8025,0.84667,0.57954,1.00585,1.47602,0.76623,0.00928,0,0.0002773,0.0002773,0.0002773
75,434.836,0.83624,0.97294,0.5224,0.00657,0.3273,0.84124,0.79064,0.84165,0.61326,0.84977,0.79774,0.84993,0.58213,1.01826,1.47963,0.7585,0.00947,0,0.0002674,0.0002674,0.0002674
76,440.482,0.83319,0.9626,0.52612,0.0065,0.32926,0.82058,0.80178,0.83844,0.6076,0.8345,0.81307,0.84898,0.58721,1.02605,1.4968,0.76895,0.00959,0,0.0002575,0.0002575,0.0002575
77,446.12,0.84086,0.96779,0.52952,0.00663,0.32687,0.80649,0.80288,0.83755,0.6149,0.82412,0.81097,0.84605,0.58319,1.00688,1.50202,0.75417,0.0094,0,0.0002476,0.0002476,0.0002476
78,451.774,0.82856,0.96683,0.51965,0.00645,0.31934,0.83387,0.81389,0.84341,0.61767,0.84323,0.82215,0.85252,0.58767,1.00199,1.47031,0.74731,0.00928,0,0.0002377,0.0002377,0.0002377
79,457.512,0.83143,0.96863,0.51964,0.00645,0.32888,0.83145,0.80907,0.84347,0.61878,0.84201,0.82048,0.85118,0.58691,1.00235,1.52338,0.75172,0.00936,0,0.0002278,0.0002278,0.0002278
80,463.18,0.82045,0.95515,0.50633,0.00644,0.31759,0.83062,0.81539,0.84495,0.62118,0.84249,0.82275,0.85533,0.58701,0.98966,1.49213,0.74845,0.00915,0,0.0002179,0.0002179,0.0002179
81,468.885,0.81304,0.94397,0.50747,0.00629,0.31901,0.83814,0.80825,0.84489,0.62048,0.8528,0.82064,0.85808,0.58975,0.99868,1.49927,0.74684,0.00921,0,0.000208,0.000208,0.000208
82,474.567,0.81951,0.96316,0.51247,0.00639,0.3171,0.83184,0.80391,0.83828,0.61587,0.84166,0.81298,0.84567,0.5805,1.00137,1.50954,0.75809,0.00928,0,0.0001981,0.0001981,0.0001981
83,480.279,0.81661,0.95205,0.50637,0.00636,0.31607,0.83111,0.80773,0.83796,0.61838,0.84488,0.82089,0.84998,0.58875,0.99638,1.51029,0.76951,0.00927,0,0.0001882,0.0001882,0.0001882
84,486.068,0.81497,0.94763,0.5027,0.00636,0.31638,0.8279,0.8164,0.8438,0.62384,0.84718,0.82414,0.85348,0.58842,0.98831,1.50772,0.74906,0.00911,0,0.0001783,0.0001783,0.0001783
85,491.787,0.80809,0.93927,0.50923,0.00626,0.31049,0.80607,0.8192,0.83995,0.61878,0.8483,0.80674,0.85038,0.58405,0.99528,1.51049,0.76219,0.00921,0,0.0001684,0.0001684,0.0001684
86,497.466,0.81084,0.94049,0.4959,0.00627,0.30796,0.83049,0.81477,0.84144,0.61827,0.85378,0.81583,0.85113,0.58611,0.99563,1.52471,0.74176,0.00918,0,0.0001585,0.0001585,0.0001585
87,503.161,0.80485,0.93654,0.49299,0.00618,0.3052,0.83391,0.80459,0.84354,0.61648,0.84822,0.81279,0.8512,0.5831,0.99843,1.52885,0.73873,0.00924,0,0.0001486,0.0001486,0.0001486
88,508.983,0.80259,0.93124,0.4994,0.00625,0.30895,0.83132,0.81545,0.84724,0.61836,0.84087,0.82279,0.85051,0.58403,0.99101,1.52413,0.74068,0.00909,0,0.0001387,0.0001387,0.0001387
89,514.7,0.80886,0.93776,0.50073,0.00622,0.30617,0.8306,0.82339,0.84506,0.61765,0.85114,0.82434,0.85312,0.58848,0.99381,1.51465,0.74312,0.00923,0,0.0001288,0.0001288,0.0001288
