run_folder,exists,project,name,model_file,data_file,imgsz,epochs_config,batch,lr0,freeze,multi_scale,mosaic,scale_aug,degrees,patience,total_epochs_trained,best_epoch,best_mask_map50,best_mask_map50_95,best_mask_precision,best_mask_recall,final_epoch,final_mask_map50,has_best_pt,has_last_pt,class_schema_guess
stage1_head_warmup_7cls_extended/stage1_head_warmup_7cls_extended,True,stage1_head_warmup_7cls_extended,stage1_head_warmup_7cls_extended,model1_remapped_7class_init.pt,dataset.yaml,1024,100,4,0.005,23,False,0.0,0.3,15.0,30,100,78,0.651,0.487,0.849,0.602,100,0.643,True,True,7-class
model5_resume_adapt_7cls/stage1_head_warmup_7cls,True,model5_resume_adapt_7cls,stage1_head_warmup_7cls,model1_remapped_7class_init.pt,dataset.yaml,1024,15,4,0.005,23,False,0.0,0.3,15.0,100,15,15,0.622,0.476,0.736,0.597,15,0.622,True,True,7-class
model5_resume_adapt_7cls/stage2_differential_finetune_7cls,True,model5_resume_adapt_7cls,stage2_differential_finetune_7cls,best.pt,dataset.yaml,1024,150,4,0.0003,0,False,0.0,0.3,15.0,20,45,15,0.615,0.465,0.673,0.584,45,0.608,True,True,7-class
model5_resume_adapt/stage2_differential_finetune-5,True,model5_resume_adapt,stage2_differential_finetune-5,best.pt,dataset.yaml,1024,120,4,0.0003,0,False,0.0,0.3,15.0,20,120,110,0.514,0.395,0.488,0.533,120,0.511,True,True,8-class?
model5_resume_adapt/stage1_head_warmup-3,True,model5_resume_adapt,stage1_head_warmup-3,model1_remapped_8class_init.pt,dataset.yaml,1024,15,4,0.005,23,True,1.0,0.5,30.0,100,15,13,0.494,0.386,0.606,0.495,15,0.487,True,True,8-class?
model5_resume_adapt/stage2_differential_finetune-4,True,model5_resume_adapt,stage2_differential_finetune-4,best.pt,dataset.yaml,1024,120,4,0.0005,0,True,0.0,0.3,15.0,20,10,3,0.468,0.357,0.476,0.489,10,0.207,True,True,8-class?
car_defect_detection/model4_control_no_multiscale_7cls,True,car_defect_detection,model4_control_no_multiscale_7cls,yolo26m-seg.pt,dataset.yaml,1024,150,8,0.01,15,False,0.0,0.3,15.0,15,150,125,0.414,0.269,0.442,0.454,150,0.408,True,True,7-class
car_defect_detection/model4_control_no_multiscale_7cls_unfreeze,True,car_defect_detection,model4_control_no_multiscale_7cls_unfreeze,yolo26m-seg.pt,dataset.yaml,1024,150,8,0.001,0,False,0.0,0.3,15.0,15,142,137,0.4,0.265,0.388,0.445,142,0.394,True,True,7-class
car_defect_detection/yolo26m_1024_stage2_clean_multiscale-4,True,car_defect_detection,yolo26m_1024_stage2_clean_multiscale-4,yolo26m-seg.pt,dataset.yaml,1024,150,8,0.01,15,True,1.0,0.5,30.0,15,104,89,0.356,0.227,0.468,0.369,104,0.338,True,True,verify
car_defect_detection/yolo26m_1024_stage2_clean_multiscale_v2,True,car_defect_detection,yolo26m_1024_stage2_clean_multiscale_v2,yolo26m-seg.pt,dataset.yaml,1024,150,8,0.01,15,True,0.0,0.3,15.0,15,135,133,0.311,0.193,0.374,0.318,135,0.308,True,True,verify
model5_resume_adapt/stage2_differential_finetune-3,True,model5_resume_adapt,stage2_differential_finetune-3,best.pt,dataset.yaml,1024,120,4,0.001,0,True,1.0,0.5,30.0,20,10,3,0.241,0.162,0.262,0.498,10,0.053,True,True,8-class?
model5_resume_adapt/stage2_differential_finetune,True,model5_resume_adapt,stage2_differential_finetune,best.pt,dataset.yaml,1024,120,4,0.001,0,True,1.0,0.5,30.0,20,8,3,0.216,0.15,0.25,0.48,8,0.047,True,True,8-class?
car_defect_detection/yolo26m_1024_stage2_clean_multiscale-3,True,car_defect_detection,yolo26m_1024_stage2_clean_multiscale-3,yolo26m-seg.pt,dataset.yaml,1024,150,6,0.01,15,True,1.0,0.5,30.0,15,34,31,0.172,0.101,0.222,0.244,34,0.158,True,True,verify
model5_resume_adapt/stage1_head_warmup-2,True,model5_resume_adapt,stage1_head_warmup-2,model1_remapped_8class_init.pt,dataset.yaml,1024,15,8,0.01,23,True,1.0,0.5,30.0,100,1,1,0.096,0.079,0.345,0.176,1,0.096,True,True,8-class?
