"Run","Run ID","metric","step","timestamp","value"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95B","0","1784659203901","0.09359"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95B","1","1784659447537","0.16081"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95B","2","1784659686422","0.14456"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95B","3","1784659923281","0.1322"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95B","4","1784660160346","0.16788"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95B","5","1784660397975","0.17776"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95B","6","1784660635557","0.19371"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95B","7","1784660872169","0.20504"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95B","8","1784661108988","0.20865"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95B","9","1784661347410","0.21192"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95B","10","1784661584144","0.22224"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95B","11","1784661821454","0.23081"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95B","12","1784662058989","0.22803"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95B","13","1784662296081","0.23512"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95B","14","1784662531203","0.22322"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95B","15","1784662768217","0.23075"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95B","16","1784663005470","0.24398"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95B","17","1784663240867","0.24528"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95B","18","1784663477809","0.24756"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95B","19","1784663715605","0.24825"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95B","20","1784663951259","0.25234"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95B","21","1784664188391","0.26804"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95B","22","1784664425381","0.26068"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95B","23","1784664661711","0.2684"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95B","24","1784664899177","0.26332"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95B","25","1784665136208","0.27955"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95B","26","1784665372421","0.27741"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95B","27","1784665610173","0.27394"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95B","28","1784665846486","0.26286"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95B","29","1784666082971","0.2602"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95B","30","1784666320135","0.27427"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95B","31","1784666556299","0.26842"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95B","32","1784666792818","0.27854"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95B","33","1784667029364","0.27153"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95B","34","1784667266633","0.28911"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95B","35","1784667503491","0.29347"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95B","36","1784667740117","0.28149"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95B","37","1784667977412","0.29003"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95B","38","1784668214049","0.30307"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95B","39","1784668451172","0.28766"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95B","40","1784668688030","0.28095"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95B","41","1784668925105","0.27927"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95B","42","1784669161873","0.28402"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95B","43","1784669399745","0.29271"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95B","44","1784669637395","0.28371"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95B","45","1784669873773","0.30154"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95B","46","1784670111327","0.28791"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95B","47","1784670349491","0.27855"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95B","48","1784670585257","0.3023"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95B","49","1784670823141","0.29526"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95B","50","1784671060943","0.29237"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95B","51","1784671297825","0.28141"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95B","52","1784671533672","0.28894"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95B","53","1784671770829","0.30605"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95B","54","1784672008185","0.31372"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95B","55","1784672243513","0.2906"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95B","56","1784672480759","0.30673"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95B","57","1784672718499","0.29409"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95B","58","1784672954317","0.31063"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95B","59","1784673192058","0.30327"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95B","60","1784673428737","0.30512"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95B","61","1784673664390","0.32077"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95B","62","1784673901640","0.30495"
