"Run","Run ID","metric","step","timestamp","value"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95M","0","1784659203901","0.10442"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95M","1","1784659447537","0.16076"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95M","2","1784659686422","0.15615"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95M","3","1784659923281","0.16172"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95M","4","1784660160346","0.20547"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95M","5","1784660397975","0.20703"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95M","6","1784660635557","0.21081"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95M","7","1784660872169","0.2248"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95M","8","1784661108988","0.23387"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95M","9","1784661347410","0.23854"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95M","10","1784661584144","0.24502"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95M","11","1784661821454","0.24316"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95M","12","1784662058989","0.23364"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95M","13","1784662296081","0.2531"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95M","14","1784662531203","0.24948"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95M","15","1784662768217","0.26849"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95M","16","1784663005470","0.27316"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95M","17","1784663240867","0.28067"
"yolo26m_1024_stage2_baseline","63356a6890364538a0dad4c12bc2c43f","metrics/mAP50-95M","18","1784663477809","0.27467"
