epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,273.166,1.75042,3.56931,4.93784,0.01619,2.73319,0.28544,0.21759,0.1998,0.09359,0.29213,0.21763,0.19344,0.10442,1.74946,2.98971,3.07342,0.03206,0,0.00997573,0.00332524,0.00997573,0.00332524,0.00997573,0.00332524,0.00997573,0.00332524
2,516.798,1.77192,3.09776,2.84344,0.01565,1.46441,0.46997,0.30725,0.28659,0.16081,0.47659,0.28539,0.27716,0.16076,1.68092,2.71036,2.49674,0.02829,0,0.0198768,0.00662562,0.0198768,0.00662562,0.0198768,0.00662562,0.0198768,0.00662562
3,755.795,1.8417,3.05239,2.68414,0.01679,1.32348,0.48886,0.31893,0.28476,0.14456,0.4978,0.30333,0.2771,0.15615,1.80949,2.76457,2.39584,0.03091,0,0.029679,0.00989299,0.029679,0.00989299,0.029679,0.00989299,0.029679,0.00989299
4,992.665,1.90641,3.05615,2.64183,0.01805,1.28659,0.45963,0.33113,0.28344,0.1322,0.46642,0.3143,0.27607,0.16172,1.87481,2.69924,2.40291,0.03369,0,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,1229.66,1.91678,3.00087,2.56337,0.01755,1.22661,0.50451,0.35232,0.33074,0.16788,0.524,0.33626,0.32902,0.20547,1.7781,2.62269,2.3151,0.03218,0,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,1467.26,1.89269,2.96621,2.51941,0.017,1.16912,0.50632,0.36753,0.33652,0.17776,0.53106,0.35085,0.32683,0.20703,1.7946,2.64032,2.31097,0.03148,0,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,1704.89,1.865,2.91061,2.44547,0.0169,1.12217,0.38966,0.38714,0.35208,0.19371,0.39478,0.37645,0.34204,0.21081,1.74939,2.57367,2.22352,0.03003,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,1941.5,1.84414,2.87158,2.39412,0.01675,1.10178,0.5551,0.39136,0.36894,0.20504,0.56391,0.38759,0.35822,0.2248,1.77997,2.59486,2.15254,0.03081,0,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,2178.29,1.83532,2.84011,2.34687,0.01644,1.06853,0.55436,0.41,0.38898,0.20865,0.53717,0.40143,0.37244,0.23387,1.80011,2.59073,2.12275,0.03188,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,2416.69,1.81789,2.78406,2.29133,0.01655,1.02019,0.39196,0.38572,0.36872,0.21192,0.41475,0.37507,0.36414,0.23854,1.71728,2.53104,2.1082,0.02922,0,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,2653.48,1.80935,2.77361,2.27967,0.01614,1.00193,0.44953,0.41054,0.40587,0.22224,0.44191,0.40573,0.39374,0.24502,1.72216,2.50072,2.06677,0.02995,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,2890.75,1.79449,2.75011,2.24397,0.01586,0.96972,0.58196,0.38584,0.39633,0.23081,0.59802,0.37565,0.38838,0.24316,1.68884,2.46028,2.09717,0.02765,0,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
