epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,117.539,1.86249,3.91841,1.08981,0.0321,6.44588,0.0682,0.16572,0.08081,0.03894,0.08562,0.16845,0.09295,0.04723,1.59232,3.46172,0.69165,0.0232,0,0.000276979,0.000276979,0.000276979
2,180.993,1.83071,3.74346,0.70367,0.0298,3.37179,0.16872,0.20416,0.03536,0.01147,0.33599,0.139,0.06301,0.02353,1.6667,3.56053,0.69807,0.02402,0,0.000550985,0.000550985,0.000550985
3,238.376,1.81449,3.62241,0.65132,0.02882,2.23409,0.22198,0.11202,0.05594,0.01902,0.25631,0.13551,0.10131,0.04701,1.70969,3.3972,0.66709,0.02487,0,0.000821326,0.000821326,0.000821326
4,297.031,1.79041,3.55074,0.61183,0.02697,1.47392,0.23491,0.15715,0.05134,0.01702,0.25596,0.18129,0.06287,0.02798,1.70251,3.38444,0.63046,0.02469,0,0.000816507,0.000816507,0.000816507
5,355.562,1.79521,3.54008,0.6167,0.02796,1.3608,0.21598,0.13896,0.06006,0.02131,0.28466,0.08308,0.06112,0.02177,1.71369,3.69216,0.61245,0.02523,0,0.000811009,0.000811009,0.000811009
6,416.067,1.7662,3.43229,0.61335,0.02727,1.27993,0.04769,0.17679,0.03766,0.01341,0.11227,0.19,0.07332,0.03085,1.73327,3.26221,0.62131,0.02544,0,0.000805511,0.000805511,0.000805511
7,470.347,1.72834,3.35885,0.58726,0.02608,1.19694,0.20336,0.18674,0.05815,0.02211,0.24277,0.1915,0.09738,0.05021,1.58065,3.23508,0.6134,0.02321,0,0.000800013,0.000800013,0.000800013
8,527.172,1.69655,3.32612,0.58367,0.02564,1.21017,0.17586,0.20551,0.08079,0.02786,0.22847,0.20131,0.08748,0.03632,1.55842,3.18357,0.60236,0.02232,0,0.000794515,0.000794515,0.000794515
9,584.42,1.65644,3.21854,0.57692,0.02578,1.15301,0.089,0.13007,0.08478,0.03827,0.1067,0.17401,0.08673,0.0417,1.53717,3.05834,0.59231,0.0209,0,0.000789018,0.000789018,0.000789018
10,640.219,1.63924,3.18299,0.57781,0.02536,1.13857,0.18156,0.23063,0.06626,0.02785,0.18536,0.23112,0.06777,0.03084,1.53002,3.06839,0.578,0.02186,0,0.00078352,0.00078352,0.00078352
11,699.548,1.59013,3.13579,0.5744,0.0239,1.12645,0.12165,0.16562,0.09209,0.03741,0.12525,0.17055,0.09002,0.04277,1.46914,2.84717,0.57707,0.01995,0,0.000778022,0.000778022,0.000778022
12,755.672,1.55117,3.05936,0.55585,0.02291,1.10456,0.1439,0.20751,0.08523,0.03768,0.14092,0.21955,0.08588,0.04504,1.45429,2.80472,0.57844,0.02015,0,0.000772524,0.000772524,0.000772524
13,814.378,1.57969,3.06982,0.55681,0.02394,1.09843,0.21864,0.1943,0.11017,0.05001,0.23558,0.1993,0.11147,0.05368,1.4484,2.97586,0.58511,0.01955,0,0.000767026,0.000767026,0.000767026
14,870.8,1.58519,3.07708,0.5594,0.02401,1.0536,0.1326,0.22171,0.0931,0.04165,0.13123,0.21402,0.09195,0.04923,1.40115,2.93623,0.56895,0.01912,0,0.000761529,0.000761529,0.000761529
15,926.982,1.51013,3.00043,0.55118,0.02173,1.05286,0.10532,0.19083,0.1039,0.04677,0.09852,0.20993,0.10753,0.05063,1.47197,2.84993,0.5571,0.02022,0,0.000756031,0.000756031,0.000756031
16,987.357,1.47049,2.9626,0.55316,0.02078,1.0538,0.22683,0.19667,0.09748,0.04344,0.22736,0.19704,0.12864,0.07183,1.4228,2.76156,0.55295,0.01951,0,0.000750533,0.000750533,0.000750533
17,1046.88,1.49961,2.97298,0.55339,0.02212,1.04855,0.18973,0.1934,0.10867,0.05253,0.18399,0.20064,0.11151,0.05929,1.46295,2.80299,0.55914,0.02087,0,0.000745035,0.000745035,0.000745035
18,1103.01,1.49415,2.93796,0.53731,0.02237,1.00669,0.12673,0.21171,0.10603,0.04874,0.12844,0.2001,0.11063,0.05528,1.36742,2.83295,0.55492,0.01896,0,0.000739537,0.000739537,0.000739537
19,1161.97,1.44377,2.87484,0.54481,0.02063,1.01596,0.10541,0.20545,0.10703,0.04644,0.13997,0.2214,0.11254,0.05445,1.32443,2.76568,0.55285,0.01781,0,0.00073404,0.00073404,0.00073404
20,1219.07,1.47408,2.89569,0.53426,0.02195,1.01554,0.12475,0.19116,0.102,0.0475,0.14953,0.16482,0.11375,0.0624,1.34839,2.81733,0.54521,0.018,0,0.000728542,0.000728542,0.000728542
21,1274.3,1.44477,2.86035,0.53029,0.0213,0.98132,0.12625,0.22736,0.09704,0.04714,0.12912,0.23296,0.09727,0.05103,1.30383,2.72012,0.54873,0.01748,0,0.000723044,0.000723044,0.000723044
22,1326,1.45995,2.82646,0.52091,0.02153,1.01103,0.2421,0.17031,0.10703,0.05548,0.23666,0.18835,0.10453,0.05784,1.38099,2.73753,0.54596,0.01876,0,0.000717546,0.000717546,0.000717546
23,1383.56,1.42936,2.79836,0.53029,0.0208,0.97832,0.23455,0.21535,0.08572,0.04347,0.22867,0.21131,0.08443,0.04351,1.34271,2.70987,0.56187,0.01857,0,0.000712048,0.000712048,0.000712048
24,1440.18,1.44391,2.78796,0.52202,0.02151,0.98142,0.09611,0.21009,0.09333,0.04507,0.10414,0.20387,0.09532,0.04831,1.32387,2.70398,0.53753,0.01826,0,0.000706551,0.000706551,0.000706551
