epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2065.94,1.65214,3.57093,3.99809,0.02257,2.41249,0.24074,0.2234,0.17178,0.08633,0.24273,0.20761,0.15851,0.08818,1.86394,3.35434,3.20068,0.03511,0,0.00999697,0.00333232,0.00999697,0.00333232,0.00999697,0.00333232,0.00999697,0.00333232
2,3947.73,1.69978,3.29051,3.07555,0.02325,1.85717,0.27643,0.24988,0.20709,0.10855,0.27408,0.22617,0.18807,0.11042,1.8733,3.28814,3.05942,0.03508,0,0.019601,0.00653368,0.019601,0.00653368,0.019601,0.00653368,0.019601,0.00653368
3,5791.4,1.766,3.3241,3.07903,0.02432,1.82189,0.25895,0.21401,0.17778,0.08359,0.25892,0.19789,0.16133,0.0869,1.91978,3.27334,3.11369,0.0363,0,0.0288091,0.00960303,0.0288091,0.00960303,0.0288091,0.00960303,0.0288091,0.00960303
4,7619.07,1.79067,3.33018,3.08889,0.02461,1.73452,0.26536,0.25516,0.20514,0.09442,0.27884,0.23497,0.18964,0.10083,1.90421,3.23823,3.00109,0.03627,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,9445.61,1.74177,3.23879,3.0078,0.02349,1.67841,0.32701,0.28225,0.23465,0.11274,0.3312,0.26934,0.22267,0.12143,1.84218,3.11486,2.91363,0.03412,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,11271.4,1.70708,3.19752,2.92662,0.02301,1.65873,0.31533,0.30597,0.26366,0.14043,0.30569,0.28994,0.24488,0.14097,1.81792,3.05726,2.80345,0.03378,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,13096.6,1.6836,3.14213,2.8763,0.02252,1.61668,0.33872,0.31719,0.276,0.15371,0.33832,0.29828,0.25666,0.1497,1.79771,3.01206,2.74772,0.03323,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,14924.6,1.66841,3.11316,2.83271,0.02218,1.5983,0.37426,0.33185,0.29322,0.16454,0.37005,0.31149,0.27239,0.16301,1.74943,2.96236,2.71611,0.03207,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,16750,1.6475,3.07549,2.79549,0.02169,1.56366,0.37348,0.32355,0.29754,0.16941,0.37489,0.30516,0.27593,0.16382,1.74596,2.93103,2.68418,0.03188,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,18576.8,1.63955,3.04224,2.74993,0.02159,1.56954,0.42233,0.34774,0.32156,0.1866,0.41222,0.33146,0.29866,0.18043,1.73926,2.88478,2.5855,0.03133,0,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,20401.9,1.62717,3.02084,2.73509,0.02146,1.53434,0.41546,0.3491,0.31952,0.18489,0.41036,0.33343,0.29915,0.18031,1.71471,2.87603,2.602,0.03099,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,22228,1.61217,2.99468,2.70924,0.02101,1.51978,0.39736,0.35955,0.32859,0.19832,0.38971,0.33918,0.30648,0.19104,1.70235,2.85094,2.54906,0.03076,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,24052.3,1.61156,2.98649,2.69716,0.02107,1.51521,0.38684,0.35598,0.328,0.19485,0.37949,0.33652,0.30289,0.18782,1.70938,2.828,2.50333,0.03088,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,25878.1,1.59973,2.96504,2.67173,0.02085,1.49023,0.40798,0.37049,0.34141,0.2042,0.41648,0.35011,0.31527,0.19262,1.67734,2.77795,2.49427,0.03003,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,27703.9,1.58308,2.94697,2.66797,0.02066,1.48189,0.43005,0.37534,0.34317,0.2065,0.41505,0.35349,0.32098,0.19793,1.66552,2.75923,2.46674,0.02991,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
